"iso_code","year","GDP"
"AFE",2008,713502105895.915
"AFE",2009,715485327512.248
"AFE",2010,849409658497.578
"AFE",2011,945439148517.755
"AFE",2012,952998559818.562
"AFE",2013,962394917490.248
"AFE",2014,978708260612.874
"AFE",2015,898277807343.005
"AFE",2016,828942805457.755
"AFE",2017,972998927353.678
"AFE",2018,1012306000425.25
"AFE",2019,1009721174054.91
"AFE",2020,933391782089.617
"AFE",2021,1085745178850.97
"AFE",2022,1191423176242.96
"AFE",2023,1245472471675.95
"AFE",2024,NA
"AFG",1960,NA
"AFG",1961,NA
"AFG",1962,NA
"AFG",1963,NA
"AFG",1964,NA
"AFG",1965,NA
"AFG",1966,NA
"AFG",1967,NA
"AFG",1968,NA
"AFG",1969,NA
"AFG",1970,NA
"AFG",1971,NA
"AFG",1972,NA
"AFG",1973,NA
"AFG",1974,NA
"AFG",1975,NA
"AFG",1976,NA
"AFG",1977,NA
"AFG",1978,NA
"AFG",1979,NA
"AFG",1980,NA
"AFG",1981,NA
"AFG",1982,NA
"AFG",1983,NA
"AFG",1984,NA
"AFG",1985,NA
"AFG",1986,NA
"AFG",1987,NA
"AFG",1988,NA
"AFG",1989,NA
"AFG",1990,NA
"AFG",1991,NA
"AFG",1992,NA
"AFG",1993,NA
"AFG",1994,NA
"AFG",1995,NA
"AFG",1996,NA
"AFG",1997,NA
"AFG",1998,NA
"AFG",1999,NA
"AFG",2000,3521418059.92345
"AFG",2001,2813571753.87253
"AFG",2002,3825701438.99963
"AFG",2003,4520946818.54581
"AFG",2004,5224896718.67782
"AFG",2005,6203256538.70967
"AFG",2006,6971758282.29351
"AFG",2007,9747886187.39393
"AFG",2008,10109297047.5432
"AFG",2009,12416152732.0567
"AFG",2010,15856668555.8336
"AFG",2011,17805098206.3141
"AFG",2012,19907329777.5872
"AFG",2013,20146416757.5987
"AFG",2014,20497128555.6972
"AFG",2015,19134221644.7325
"AFG",2016,18116572395.0772
"AFG",2017,18753456497.8159
"AFG",2018,18053222687.4126
"AFG",2019,18799444490.1128
"AFG",2020,19955929052.1496
"AFG",2021,14259995441.0759
"AFG",2022,14497243872.1337
"AFG",2023,17233051620.1117
"AFG",2024,NA
"AFW",1960,11904954209.7913
"AFW",1961,12707877772.0913
"AFW",1962,13630758805.127
"AFW",1963,14469094143.8507
"AFW",1964,15803761887.017
"AFW",1965,16921087954.573
"AFW",1966,18034172573.2587
"AFW",1967,16493747239.3111
"AFW",1968,17022809177.1935
"AFW",1969,19301432647.6235
"AFW",1970,26697257158.4935
"AFW",1971,24497091507.9669
"AFW",1972,29489793286.494
"AFW",1973,36891093307.3507
"AFW",1974,49687843306.2775
"AFW",1975,57280830631.7763
"AFW",1976,68386405203.2096
"AFW",1977,71790392858.7692
"AFW",1978,78779062952.6865
"AFW",1979,96682270600.3441
"AFW",1980,120501289650.444
"AFW",1981,216910928971.236
"AFW",1982,195918303003.476
"AFW",1983,151222588533.416
"AFW",1984,131218181008.632
"AFW",1985,137802915726.013
"AFW",1986,109237001606.148
"AFW",1987,112294774135.922
"AFW",1988,111227154872.419
"AFW",1989,103934371472.964
"AFW",1990,123711320874.115
"AFW",1991,129941883767.738
"AFW",1992,124599331246.066
"AFW",1993,129732604186.556
"AFW",1994,134776834335.371
"AFW",1995,207176966923.154
"AFW",1996,262600874262.366
"AFW",1997,275742250432.718
"AFW",1998,296152427996.975
"AFW",1999,139468349993.665
"AFW",2000,142140075688.035
"AFW",2001,150058483119.277
"AFW",2002,179390065404.769
"AFW",2003,207754986627.128
"AFW",2004,256907774242.77
"AFW",2005,313327532014.413
"AFW",2006,398139655913.586
"AFW",2007,466883688400.501
"AFW",2008,569321671765.097
"AFW",2009,509917730290.988
"AFW",2010,600152668678.288
"AFW",2011,683888129140.775
"AFW",2012,739938079289.657
"AFW",2013,836937363389.634
"AFW",2014,897415713447.017
"AFW",2015,771766914345.161
"AFW",2016,694360980069.456
"AFW",2017,687849196676.202
"AFW",2018,770494988148.76
"AFW",2019,826483769985.129
"AFW",2020,789801651563.294
"AFW",2021,849312422223.205
"AFW",2022,883973910898.854
"AFW",2023,799105950273.831
"AFW",2024,NA
"AGO",1960,NA
"AGO",1961,NA
"AGO",1962,NA
"AGO",1963,NA
"AGO",1964,NA
"AGO",1965,NA
"AGO",1966,NA
"AGO",1967,NA
"AGO",1968,NA
"AGO",1969,NA
"AGO",1970,NA
"AGO",1971,NA
"AGO",1972,NA
"AGO",1973,NA
"AGO",1974,NA
"AGO",1975,NA
"AGO",1976,NA
"AGO",1977,NA
"AGO",1978,NA
"AGO",1979,NA
"AGO",1980,5930503400.96263
"AGO",1981,5550483035.96497
"AGO",1982,5550483035.96497
"AGO",1983,5784341596.36339
"AGO",1984,6131475065.17815
"AGO",1985,7554065410.121
"AGO",1986,7072536108.69711
"AGO",1987,8084412414.26566
"AGO",1988,8769836768.83482
"AGO",1989,10201780976.6696
"AGO",1990,11229515599.3048
"AGO",1991,10603784541.197
"AGO",1992,8307810973.58848
"AGO",1993,5768720421.61367
"AGO",1994,4438321017.39068
"AGO",1995,5538749259.94714
"AGO",1996,7526446605.51712
"AGO",1997,7648377412.83277
"AGO",1998,6506229607.29432
"AGO",1999,6152923310.44546
"AGO",2000,9129594970.15301
"AGO",2001,8936079117.73136
"AGO",2002,15285592370.374
"AGO",2003,17812704586.4397
"AGO",2004,23552057679.4994
"AGO",2005,36970900883.8109
"AGO",2006,52381025141.4268
"AGO",2007,65266415494.2584
"AGO",2008,88538665084.8634
"AGO",2009,70307196181.6539
"AGO",2010,83799474069.7315
"AGO",2011,111789747670.59
"AGO",2012,128052915766.343
"AGO",2013,132339109040.232
"AGO",2014,135966802586.713
"AGO",2015,90496420506.5957
"AGO",2016,52761617225.9253
"AGO",2017,73690154990.7312
"AGO",2018,79450688259.3664
"AGO",2019,70897962732.0277
"AGO",2020,48501561203.5686
"AGO",2021,66505129987.7235
"AGO",2022,104399746853.401
"AGO",2023,84824654481.7249
"AGO",2024,NA
"ALB",1960,NA
"ALB",1961,NA
"ALB",1962,NA
"ALB",1963,NA
"ALB",1964,NA
"ALB",1965,NA
"ALB",1966,NA
"ALB",1967,NA
"ALB",1968,NA
"ALB",1969,NA
"ALB",1970,NA
"ALB",1971,NA
"ALB",1972,NA
"ALB",1973,NA
"ALB",1974,NA
"ALB",1975,NA
"ALB",1976,NA
"ALB",1977,NA
"ALB",1978,NA
"ALB",1979,NA
"ALB",1980,1578102105.26316
"ALB",1981,1808177156.17716
"ALB",1982,1861163170.16317
"ALB",1983,1881412587.41259
"ALB",1984,1857337995.338
"ALB",1985,1897050116.55012
"ALB",1986,2097326250
"ALB",1987,2080796250
"ALB",1988,2051236250
"ALB",1989,2253090000
"ALB",1990,2028553750
"ALB",1991,1099559027.77778
"ALB",1992,652174990.837304
"ALB",1993,1185315468.46295
"ALB",1994,1880950864.41311
"ALB",1995,2392764853.42107
"ALB",1996,3199640815.4163
"ALB",1997,2258513974.0968
"ALB",1998,2545964540.88383
"ALB",1999,3212121650.97755
"ALB",2000,3480355258.04122
"ALB",2001,3922100793.5403
"ALB",2002,4348068242.19512
"ALB",2003,5611496257.14231
"ALB",2004,7184685781.51876
"ALB",2005,8052077248.14638
"ALB",2006,8896075004.63516
"ALB",2007,10677324852.8822
"ALB",2008,12881352893.6855
"ALB",2009,12044205549.6571
"ALB",2010,11926926615.8015
"ALB",2011,12890760315.146
"ALB",2012,12319834195.331
"ALB",2013,12776224496.9718
"ALB",2014,13228147516.1168
"ALB",2015,11386853113.0189
"ALB",2016,11861199830.8396
"ALB",2017,13019726211.7369
"ALB",2018,15379509891.7196
"ALB",2019,15585105131.0644
"ALB",2020,15241458744.8688
"ALB",2021,18032010563.7558
"ALB",2022,19017242585.7803
"ALB",2023,23547179830.4413
"ALB",2024,NA
"AND",1960,NA
"AND",1961,NA
"AND",1962,NA
"AND",1963,NA
"AND",1964,NA
"AND",1965,NA
"AND",1966,NA
"AND",1967,NA
"AND",1968,NA
"AND",1969,NA
"AND",1970,78617711.0965325
"AND",1971,89406608.1458151
"AND",1972,113414397.365635
"AND",1973,150841639.297444
"AND",1974,186557081.998137
"AND",1975,220112572.205331
"AND",1976,227283850.831271
"AND",1977,253997897.226968
"AND",1978,308020261.164149
"AND",1979,411548748.354729
"AND",1980,446377776.798001
"AND",1981,388983266.199886
"AND",1982,375914743.581006
"AND",1983,327850042.515872
"AND",1984,330073080.637098
"AND",1985,346742714.675152
"AND",1986,481996012.869071
"AND",1987,611299924.540506
"AND",1988,721425939.15155
"AND",1989,795489582.04491
"AND",1990,1028989692.06787
"AND",1991,1106891361.53948
"AND",1992,1209992020.29543
"AND",1993,1007090269.86956
"AND",1994,1017544068.8408
"AND",1995,1178745282.8678
"AND",1996,1224024139.21295
"AND",1997,1180645571.8643
"AND",1998,1211953994.05714
"AND",1999,1240295198.78331
"AND",2000,1432606188.69324
"AND",2001,1548265808.05802
"AND",2002,1764279824.29752
"AND",2003,2366941808.94404
"AND",2004,2900245324.49221
"AND",2005,3161084091.11674
"AND",2006,3459337986.88383
"AND",2007,3957625367.21959
"AND",2008,4102319399.02343
"AND",2009,3688976340.7549
"AND",2010,3449925738.86069
"AND",2011,3629133574.27783
"AND",2012,3188652765.36184
"AND",2013,3193512950.02419
"AND",2014,3271685596.66321
"AND",2015,2789881258.50362
"AND",2016,2896610479.73077
"AND",2017,3000162081.11976
"AND",2018,3218419896.9641
"AND",2019,3155149347.80639
"AND",2020,2891001149.3611
"AND",2021,3324647529.381
"AND",2022,3380612573.32922
"AND",2023,3785067331.7625
"AND",2024,NA
"ARB",1960,NA
"ARB",1961,19997084153.9204
"ARB",1962,20327670691.7473
"ARB",1963,22362957617.8193
"ARB",1964,24811627082.2698
"ARB",1965,26769289694.4669
"ARB",1966,28349126511.2864
"ARB",1967,30598797624.9943
"ARB",1968,34970677297.745
"ARB",1969,38561008450.5238
"ARB",1970,43091222309.5881
"ARB",1971,49926770848.0969
"ARB",1972,59966658266.3589
"ARB",1973,79125367981.7092
"ARB",1974,152188729571.963
"ARB",1975,168158579107.572
"ARB",1976,209993347714.026
"ARB",1977,242270387233.548
"ARB",1978,265398240292.281
"ARB",1979,358111304338
"ARB",1980,486405826789.156
"ARB",1981,494916415249.258
"ARB",1982,463080469413.228
"ARB",1983,437471179607.113
"ARB",1984,440182151040.526
"ARB",1985,432868201205.862
"ARB",1986,405473196669.707
"ARB",1987,431257668979.748
"ARB",1988,429382834186.075
"ARB",1989,457369060523.457
"ARB",1990,641712235219.388
"ARB",1991,467952893063.612
"ARB",1992,467794315237.359
"ARB",1993,478927019847.844
"ARB",1994,499880127406.636
"ARB",1995,528480491435.013
"ARB",1996,570909722765.544
"ARB",1997,614596967130.055
"ARB",1998,598789587273.971
"ARB",1999,665415371173.92
"ARB",2000,763411636190.425
"ARB",2001,744728537853.62
"ARB",2002,746649261275.272
"ARB",2003,830076468636.6
"ARB",2004,987316008401.59
"ARB",2005,1210020765397.36
"ARB",2006,1439471041382.97
"ARB",2007,1674641032780.09
"ARB",2008,2118071078804.52
"ARB",2009,1829849574764.63
"ARB",2010,2155345081625.06
"ARB",2011,2560993268042.28
"ARB",2012,2795312711245.16
"ARB",2013,2858382766060.3
"ARB",2014,2905651795199.09
"ARB",2015,2544700996740.79
"ARB",2016,2500823407237.94
"ARB",2017,2572203993723.9
"ARB",2018,2867348492603.59
"ARB",2019,2899029698316.63
"ARB",2020,2562783626987.73
"ARB",2021,2969239218342.03
"ARB",2022,3609805711776.49
"ARB",2023,3512421040998.19
"ARB",2024,NA
"ARE",1960,NA
"ARE",1961,NA
"ARE",1962,NA
"ARE",1963,NA
"ARE",1964,NA
"ARE",1965,NA
"ARE",1966,NA
"ARE",1967,NA
"ARE",1968,NA
"ARE",1969,NA
"ARE",1970,685986701.316701
"ARE",1971,939893599.634201
"ARE",1972,1415086929.3006
"ARE",1973,4231243615.86089
"ARE",1974,11651505689.4244
"ARE",1975,14720728248.5355
"ARE",1976,19213158778.7928
"ARE",1977,24871775164.6043
"ARE",1978,23775764224.6832
"ARE",1979,31225659620.9951
"ARE",1980,43599160050.3322
"ARE",1981,49333424135.1131
"ARE",1982,46622718605.2847
"ARE",1983,42803323345.1376
"ARE",1984,41807954235.903
"ARE",1985,40603650231.5445
"ARE",1986,33943612094.7971
"ARE",1987,36384908744.2114
"ARE",1988,36275674203.2144
"ARE",1989,41464995913.9199
"ARE",1990,50701443748.2975
"ARE",1991,51552165622.4462
"ARE",1992,54239171887.769
"ARE",1993,55625170253.337
"ARE",1994,59305093979.842
"ARE",1995,65743666575.8649
"ARE",1996,73571233996.1863
"ARE",1997,78839008444.5655
"ARE",1998,75674336283.1858
"ARE",1999,84445473110.9598
"ARE",2000,104337372362.151
"ARE",2001,103311640571.818
"ARE",2002,109816201497.617
"ARE",2003,124346358066.712
"ARE",2004,147824370319.946
"ARE",2005,180617467964.602
"ARE",2006,222116541865.214
"ARE",2007,257916133424.098
"ARE",2008,315474615738.598
"ARE",2009,253547358747.447
"ARE",2010,300189052694.029
"ARE",2011,360832739558.385
"ARE",2012,384610125384.033
"ARE",2013,400218529747.597
"ARE",2014,414105366758.911
"ARE",2015,370275469560.166
"ARE",2016,369255326235.771
"ARE",2017,390516804016.501
"ARE",2018,427049432149.345
"ARE",2019,417989721734.494
"ARE",2020,349473015336.939
"ARE",2021,415178792769.884
"ARE",2022,502731935197.487
"ARE",2023,514130432653.081
"ARE",2024,NA
"ARG",1960,NA
"ARG",1961,NA
"ARG",1962,24450604877.6081
"ARG",1963,18272123664.4715
"ARG",1964,25605249381.7597
"ARG",1965,28344705966.6389
"ARG",1966,28630474727.9023
"ARG",1967,24256667553.2569
"ARG",1968,26436857247.4982
"ARG",1969,31256284543.6155
"ARG",1970,31584210365.5447
"ARG",1971,33293199095.4881
"ARG",1972,34733000536.2862
"ARG",1973,52544000116.9037
"ARG",1974,72436777342.4554
"ARG",1975,52438647921.9226
"ARG",1976,51169499892.1722
"ARG",1977,56781000101.0848
"ARG",1978,89049453088.3282
"ARG",1979,69252328951.6441
"ARG",1980,76961923741.0701
"ARG",1981,78676842366.5529
"ARG",1982,84307486836.724
"ARG",1983,103979106777.911
"ARG",1984,116915052107.031
"ARG",1985,88150891728.1064
"ARG",1986,105872372613.857
"ARG",1987,108810885301.253
"ARG",1988,126890235049.092
"ARG",1989,76629728760.123
"ARG",1990,141352630146.731
"ARG",1991,189719984268.485
"ARG",1992,228778917308.17
"ARG",1993,236741715015.015
"ARG",1994,2.5744e+11
"ARG",1995,258031750000
"ARG",1996,272149750000
"ARG",1997,2.92859e+11
"ARG",1998,298948250000
"ARG",1999,2.83523e+11
"ARG",2000,284203750000
"ARG",2001,268696750000
"ARG",2002,97724004251.8602
"ARG",2003,127586973492.177
"ARG",2004,164657930452.787
"ARG",2005,198737095012.282
"ARG",2006,232557260817.308
"ARG",2007,287530508430.568
"ARG",2008,361558037110.419
"ARG",2009,332976484577.619
"ARG",2010,423627422092.49
"ARG",2011,530158122010.442
"ARG",2012,545982375701.128
"ARG",2013,552025140252.246
"ARG",2014,526319673731.638
"ARG",2015,594749285413.212
"ARG",2016,557532320662.955
"ARG",2017,643628393281.364
"ARG",2018,524819892360.176
"ARG",2019,447754683615.225
"ARG",2020,385740508436.965
"ARG",2021,486564085480.036
"ARG",2022,632790070063.124
"ARG",2023,646075277525.125
"ARG",2024,NA
"ARM",1960,NA
"ARM",1961,NA
"ARM",1962,NA
"ARM",1963,NA
"ARM",1964,NA
"ARM",1965,NA
"ARM",1966,NA
"ARM",1967,NA
"ARM",1968,NA
"ARM",1969,NA
"ARM",1970,NA
"ARM",1971,NA
"ARM",1972,NA
"ARM",1973,NA
"ARM",1974,NA
"ARM",1975,NA
"ARM",1976,NA
"ARM",1977,NA
"ARM",1978,NA
"ARM",1979,NA
"ARM",1980,NA
"ARM",1981,NA
"ARM",1982,NA
"ARM",1983,NA
"ARM",1984,NA
"ARM",1985,NA
"ARM",1986,NA
"ARM",1987,NA
"ARM",1988,NA
"ARM",1989,NA
"ARM",1990,2256863448.77086
"ARM",1991,2069870129.87013
"ARM",1992,1272835453.42634
"ARM",1993,1201312829.27524
"ARM",1994,1315158636.67553
"ARM",1995,1468317435.20148
"ARM",1996,1596968946.23708
"ARM",1997,1639492444.76152
"ARM",1998,1893726437.26462
"ARM",1999,1845482173.02732
"ARM",2000,1911563668.85006
"ARM",2001,2118467913.37873
"ARM",2002,2376335048.39976
"ARM",2003,2807061008.69084
"ARM",2004,3576615240.41616
"ARM",2005,4900469511.10191
"ARM",2006,6384452066.5146
"ARM",2007,9206301269.79164
"ARM",2008,11662040713.8753
"ARM",2009,8647937081.2562
"ARM",2010,9260285755.62424
"ARM",2011,10142111824.5835
"ARM",2012,10619320682.9474
"ARM",2013,11121464437.0415
"ARM",2014,11609513246.7958
"ARM",2015,10553337518.414
"ARM",2016,10546136235.5219
"ARM",2017,11527458709.0158
"ARM",2018,12457940694.7395
"ARM",2019,13619290539.2116
"ARM",2020,12641698583.2152
"ARM",2021,13878908628.9378
"ARM",2022,19513506553.1251
"ARM",2023,24085749592.3359
"ARM",2024,NA
"ASM",1960,NA
"ASM",1961,NA
"ASM",1962,NA
"ASM",1963,NA
"ASM",1964,NA
"ASM",1965,NA
"ASM",1966,NA
"ASM",1967,NA
"ASM",1968,NA
"ASM",1969,NA
"ASM",1970,NA
"ASM",1971,NA
"ASM",1972,NA
"ASM",1973,NA
"ASM",1974,NA
"ASM",1975,NA
"ASM",1976,NA
"ASM",1977,NA
"ASM",1978,NA
"ASM",1979,NA
"ASM",1980,NA
"ASM",1981,NA
"ASM",1982,NA
"ASM",1983,NA
"ASM",1984,NA
"ASM",1985,NA
"ASM",1986,NA
"ASM",1987,NA
"ASM",1988,NA
"ASM",1989,NA
"ASM",1990,NA
"ASM",1991,NA
"ASM",1992,NA
"ASM",1993,NA
"ASM",1994,NA
"ASM",1995,NA
"ASM",1996,NA
"ASM",1997,NA
"ASM",1998,NA
"ASM",1999,NA
"ASM",2000,NA
"ASM",2001,NA
"ASM",2002,5.12e+08
"ASM",2003,5.24e+08
"ASM",2004,5.09e+08
"ASM",2005,5e+08
"ASM",2006,4.93e+08
"ASM",2007,5.18e+08
"ASM",2008,5.6e+08
"ASM",2009,6.75e+08
"ASM",2010,5.73e+08
"ASM",2011,5.7e+08
"ASM",2012,6.4e+08
"ASM",2013,6.38e+08
"ASM",2014,6.43e+08
"ASM",2015,6.73e+08
"ASM",2016,6.71e+08
"ASM",2017,6.12e+08
"ASM",2018,6.39e+08
"ASM",2019,6.47e+08
"ASM",2020,7.21e+08
"ASM",2021,7.5e+08
"ASM",2022,8.71e+08
"ASM",2023,NA
"ASM",2024,NA
"ATG",1960,NA
"ATG",1961,NA
"ATG",1962,NA
"ATG",1963,NA
"ATG",1964,NA
"ATG",1965,NA
"ATG",1966,NA
"ATG",1967,NA
"ATG",1968,NA
"ATG",1969,NA
"ATG",1970,NA
"ATG",1971,NA
"ATG",1972,NA
"ATG",1973,NA
"ATG",1974,NA
"ATG",1975,NA
"ATG",1976,NA
"ATG",1977,77496296.2962963
"ATG",1978,88033333.3333333
"ATG",1979,109585185.185185
"ATG",1980,132440740.740741
"ATG",1981,149377777.777778
"ATG",1982,166425925.925926
"ATG",1983,184848148.148148
"ATG",1984,212192592.592593
"ATG",1985,246344444.444444
"ATG",1986,297537037.037037
"ATG",1987,346840740.740741
"ATG",1988,411374074.074074
"ATG",1989,455148148.148148
"ATG",1990,478692592.592593
"ATG",1991,504307407.407407
"ATG",1992,525103703.703704
"ATG",1993,565633333.333333
"ATG",1994,625051851.851852
"ATG",1995,616014814.814815
"ATG",1996,679111111.111111
"ATG",1997,734392592.592593
"ATG",1998,789762962.962963
"ATG",1999,835514814.814815
"ATG",2000,900551851.851852
"ATG",2001,877514814.814815
"ATG",2002,897988888.888889
"ATG",2003,947955555.555555
"ATG",2004,1026181481.48148
"ATG",2005,1143714814.81481
"ATG",2006,1303548148.14815
"ATG",2007,1487300000
"ATG",2008,1557540740.74074
"ATG",2009,1386444444.44444
"ATG",2010,1298255555.55556
"ATG",2011,1281337037.03704
"ATG",2012,1327107407.40741
"ATG",2013,1325425925.92593
"ATG",2014,1378829629.62963
"ATG",2015,1437755555.55556
"ATG",2016,1489692592.59259
"ATG",2017,1531151851.85185
"ATG",2018,1661529629.62963
"ATG",2019,1725351851.85185
"ATG",2020,1410796296.2963
"ATG",2021,1601366666.66667
"ATG",2022,1867733333.33333
"ATG",2023,2033085185.18518
"ATG",2024,NA
"AUS",1960,18607682977.2293
"AUS",1961,19684003149.4405
"AUS",1962,19923683187.7893
"AUS",1963,21540963446.5541
"AUS",1964,23801123808.1798
"AUS",1965,25977284156.3655
"AUS",1966,27308964369.4343
"AUS",1967,30442724870.836
"AUS",1968,32714085234.2536
"AUS",1969,36684485869.5177
"AUS",1970,41334726613.5563
"AUS",1971,45217767234.8428
"AUS",1972,52042056074.7664
"AUS",1973,63833440102.4984
"AUS",1974,88965364775.2395
"AUS",1975,97304383449.406
"AUS",1976,105060616984.856
"AUS",1977,110352144987.382
"AUS",1978,118492761338.464
"AUS",1979,134900602067.477
"AUS",1980,149987743732.591
"AUS",1981,176895390688.494
"AUS",1982,194041708043.694
"AUS",1983,177267290706.228
"AUS",1984,193525337525.765
"AUS",1985,180643265927.279
"AUS",1986,182481113598.209
"AUS",1987,189495764955.003
"AUS",1988,236161314544.153
"AUS",1989,299875906679.217
"AUS",1990,311426665219.971
"AUS",1991,325975319455.531
"AUS",1992,325525379566.838
"AUS",1993,312133923552.558
"AUS",1994,322806641300.588
"AUS",1995,368166023166.023
"AUS",1996,401341880620.728
"AUS",1997,435642611296.586
"AUS",1998,399674421759.479
"AUS",1999,389652212056.649
"AUS",2000,416167815092.908
"AUS",2001,379629301675.108
"AUS",2002,395788696012.059
"AUS",2003,467739079790.332
"AUS",2004,614659980082.515
"AUS",2005,695692898676.56
"AUS",2006,748417562769.636
"AUS",2007,855007458585.224
"AUS",2008,1056112427190.38
"AUS",2009,928762122698.05
"AUS",2010,1148838233480.72
"AUS",2011,1398610616772.97
"AUS",2012,1547532281116.4
"AUS",2013,1577123329410.88
"AUS",2014,1468265356427.76
"AUS",2015,1351296372254.31
"AUS",2016,1206836962281.84
"AUS",2017,1325582658156.54
"AUS",2018,1427809041019.44
"AUS",2019,1392723834562.64
"AUS",2020,1328414058378.38
"AUS",2021,1556735770437.26
"AUS",2022,1690858246994.43
"AUS",2023,1728057316695.61
"AUS",2024,NA
"AUT",1960,6624086313.14334
"AUT",1961,7346566037.83392
"AUT",1962,7793042529.15992
"AUT",1963,8414050621.01716
"AUT",1964,9213648655.97511
"AUT",1965,10041659445.118
"AUT",1966,10939526218.6393
"AUT",1967,11634569521.9273
"AUT",1968,12499863917.1003
"AUT",1969,13647475854.0287
"AUT",1970,15312791743.8476
"AUT",1971,17788536733.1204
"AUT",1972,21973207929.0434
"AUT",1973,29399860144.7748
"AUT",1974,35051468639.576
"AUT",1975,39902300703.1682
"AUT",1976,42791707448.0325
"AUT",1977,51343861460.328
"AUT",1978,61809208755.804
"AUT",1979,73647694287.1848
"AUT",1980,81737498404.5948
"AUT",1981,70755997062.3812
"AUT",1982,70996111962.5716
"AUT",1983,71838528420.4075
"AUT",1984,67719055773.3306
"AUT",1985,69114996009.577
"AUT",1986,98648254168.5444
"AUT",1987,123682091858.946
"AUT",1988,132817124707.456
"AUT",1989,132584448257.93
"AUT",1990,165811372382.912
"AUT",1991,173113449616.971
"AUT",1992,194314032056.098
"AUT",1993,189634029338.696
"AUT",1994,202738023129.743
"AUT",1995,240094169510.031
"AUT",1996,235952581232.129
"AUT",1997,211724812267.448
"AUT",1998,217068085815.918
"AUT",1999,216421809125.916
"AUT",2000,196181599831.287
"AUT",2001,196477206829.33
"AUT",2002,212837224022.813
"AUT",2003,260779834340.097
"AUT",2004,299210411454.823
"AUT",2005,313952317330.776
"AUT",2006,333905979332.481
"AUT",2007,386760177589.497
"AUT",2008,429234399096.173
"AUT",2009,399290118782.429
"AUT",2010,389827789217.634
"AUT",2011,428954737064.057
"AUT",2012,406750487603.59
"AUT",2013,426580502769.417
"AUT",2014,438556021078.034
"AUT",2015,379546097300.633
"AUT",2016,393687359770.273
"AUT",2017,414926138132.691
"AUT",2018,452582294972.775
"AUT",2019,442983642371.842
"AUT",2020,434397601557.696
"AUT",2021,480467037338.783
"AUT",2022,471773629830.381
"AUT",2023,511685203845.001
